Rank,Player,Teams,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS2,TD3,FL,G,FPTS,FPTS/G,ROST
104,John Samuel Shenker (FA),FA,1,1,7,7,7,0,0,0,0,0,0,7,0.7,0.1,0.10%
105,Jared Wiley (KC),KC,1,1,7,7,7,0,0,0,0,0,0,7,0.7,0.1,0.70%
106,Geoff Swaim (FA),FA,1,1,7,7,7,0,0,0,0,0,0,8,0.7,0.1,0.00%
107,Ian Thomas (LV),LV,3,6,7,2.3,3,0,0,0,0,0,0,5,0.7,0.1,0.10%
108,Brevin Jordan (HOU),HOU,2,3,7,3.5,4,0,0,0,0,0,0,2,0.7,0.4,0.60%
109,David Martin-Robinson (TEN),TEN,1,2,6,6,6,0,0,0,0,0,0,5,0.6,0.1,0.00%
110,Ross Dwelley (SF),SF,1,1,5,5,5,0,0,0,0,0,0,14,0.5,0,0.00%
111,Zach Davidson (BUF),BUF,1,2,5,5,5,0,0,0,0,0,0,3,0.5,0.2,1.00%
112,Jody Fortson Jr. (FA),FA,1,3,5,5,5,0,0,0,0,0,0,3,0.5,0.2,0.00%
113,Marcedes Lewis (FA),FA,1,2,2,2,2,0,0,0,0,0,0,17,0.2,0,0.00%
114,John FitzPatrick (GB),GB,1,1,2,2,2,0,0,0,0,0,0,9,0.2,0,0.00%
115,Dominique Dafney (CAR),CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
116,Tre' McKitty (CLE),CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
117,Sean McKeon (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
118,Mitchell Wilcox (FA),FA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
119,Stephen Sullivan (CAR),CAR,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
120,Lawrence Cager (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
121,Tyler Mabry (FA),FA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
122,Giovanni Ricci (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
123,Donald Parham Jr. (PIT),PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
124,Mitchell Fraboni (DEN),DEN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
125,Matt Orzech (GB),GB,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
126,Parker Hesse (FA),FA,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
127,Feleipe Franks (ATL),ATL,1,3,12,12,12,0,0,0,0,0,0,15,0,0,0.00%
128,Moliki Matavao (NO),NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70%
129,Tanner McLachlan (CIN),CIN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
130,McCallan Castles (LAC),LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
131,Tyler Warren (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.60%
