Rank,Player,Team,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS2,Y/R,TD3,FL,G,FPTS,FPTS/G,ROST
106,Deuce Vaughn (DAL),DAL,17,70,4.1,12,0,0,3,5,18,6,0,0,6,8.8,1.5,1.60%
107,C.J. Ham (MIN),MIN,2,10,5,8,0,1,5,6,35,7,0,1,17,8.5,0.5,0.60%
108,Raheem Blackshear (CAR),CAR,15,80,5.3,26,1,0,0,0,0,0,0,0,16,8,0.5,1.00%
109,Jeff Wilson Jr. (FA),FA,16,57,3.6,14,0,0,3,3,19,6.3,0,0,9,7.6,0.8,1.00%
110,Eric Gray (NYG),NYG,14,31,2.2,6,0,0,10,11,82,8.2,0,2,16,7.3,0.5,1.00%
111,Clyde Edwards-Helaire (NO),NO,13,46,3.5,12,0,0,3,5,24,8,0,0,2,7,3.5,3.20%
112,Tyler Badie (DEN),DEN,11,86,7.8,43,1,0,3,3,-2,-0.7,0,1,3,6.4,2.1,0.80%
113,Kene Nwangwu (NYJ),NYJ,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0.00%
114,Keaton Mitchell (BAL),BAL,15,30,2,7,0,0,1,1,28,28,0,0,4,5.8,1.5,14.90%
115,Sione Vaki (DET),DET,6,14,2.3,7,0,0,3,3,37,12.3,0,0,12,5.1,0.4,0.80%
116,Mike Boone (FA),FA,13,51,3.9,9,0,0,1,3,-2,-2,0,0,5,4.9,1,1.00%
117,Jonathon Brooks (CAR),CAR,9,22,2.4,9,0,0,3,3,23,7.7,0,0,3,4.5,1.5,11.20%
118,J.J. Taylor (HOU),HOU,10,44,4.4,9,0,0,2,3,0,0,0,0,4,4.4,1.1,0.60%
119,Jacob Kibodi (FA),FA,5,24,4.8,17,0,0,1,3,15,15,0,0,1,3.9,3.9,0.00%
120,Travis Homer (CHI),CHI,6,23,3.8,6,0,0,3,3,11,3.7,0,0,9,3.4,0.4,0.60%
121,Terrell Jennings (NE),NE,13,33,2.5,7,0,0,0,1,0,0,0,0,2,3.3,1.7,0.10%
122,Jase McClellan (ATL),ATL,13,32,2.5,8,0,0,0,0,0,0,0,0,2,3.2,1.6,0.60%
123,Jermar Jefferson (FA),FA,6,22,3.7,8,0,0,1,1,10,10,0,0,2,3.2,1.6,0.60%
124,Rasheen Ali (BAL),BAL,10,31,3.1,9,0,0,0,2,0,0,0,0,5,3.1,0.6,1.10%
125,Dalvin Cook (FA),FA,8,20,2.5,4,0,0,1,1,10,10,0,0,2,3,1.5,0.70%
126,Blake Watson (DEN),DEN,4,10,2.5,7,0,0,1,2,13,13,0,0,3,2.3,0.8,1.90%
127,Jonathan Ward (PIT),PIT,5,22,4.4,7,0,0,0,0,0,0,0,0,4,2.2,0.6,0.00%
128,MarShawn Lloyd (GB),GB,6,15,2.5,5,0,0,1,1,3,3,0,0,1,1.8,1.8,24.60%
129,Aaron Shampklin (FA),FA,6,17,2.8,5,0,0,0,0,0,0,0,0,3,1.7,0.6,0.60%
